aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
perjured= खोटी साक्ष देण्याचा गुन्हा केलेला, , |
perjury= न्यायालयात जाणीवपूर्वक खोटी साक्ष देण्याचा गुन्हा, , |
perk= नोकरीतील अवांतर उपलब्धी किंवा प्राप्ती, , |
perk= आनंदित होणे , , |
perky= आनंदी , , |
perm= केसांचा कायम किवा बराच काळ टिकणारा कुरुळेपणा, , |
permafrost= ध्रुवप्रदेशाकडील कायम गोठलेली जमीन, , |
permanence= स्थायीपणा, शाश्वतता, |
permanent= कायम , टिकाऊ, |
permeable= ज्यात द्रव झिरपू शकतो असा, , |
permeate= पाझरून अत जाणे, , |
permissible= अनुज्ञेय, कायदा, |
permission= अनुज्ञा, अनुमती, |
permissive= परवानगी देणारा, उदार मनाचा, |
permit= अनुज्ञा देणे, , |
permittivity= पराविद्युतांक, , |
permutate= अदलाबदल करणे, , |
permutation= दिलेल्या गोष्टी,शब्द च्या क्रमाची अदलाबदल, , |
permute= क्रमचयन करणे, , |
pernicious= हानीकारक, , |
pernickety= उगीचच शुल्लक बाबीन वरून चिंता करत बसणारा, , |
perorate= गोषवारा सांगून समाप्त करणे, , |
peroration= भाषणाचा शेवट, , |
peroxide= प्राणवायूचे जास्त प्रमाण असलेले ऑक्सांइड, , |
perpendicular= उभा, काटकोनात असलेला, |
perpetrate= गुन्हा करणे, , |
perpetual= शाश्वत, , |
perpetuate= चिरस्थायी करणे, , |
perpetuity= चिरस्थायीत्व, अखंडता, |
perplex= गोंधळलेले, पेचात टाकणे, |
perplexed= गोंधळलेले, , |
perplexity= संभ्रमात, , |
perquisite= अवांतर प्राप्ती, , |
perron= इमारतीच्या प्रवेशद्वाराजवळून बाहेर आलेला जिना, , |
perry= पिअर फळापासून तयार केलेले मद्य, , |
per se= स्वत;, एकट्याने, |
persecute= निर्दयपणे वागवणे, , |
persecution= अत्याचार, गांजणूक, |
perseverance= दीर्घोद्योग, अथक प्रयत्न, |
persevere= पिच्छा पुरवणे, , |
persevering= खंबीर, दिर्गोद्योगी, |
Persia= इराण देशाचे पूर्वीचे नाव, , |
perisflage= गमतीदाखल केलेली चेष्टा, , |
persist= चालू राहणे चालू ठेवणे, , |
persistence= चिकाटी , टिकाव, |
persistent= नेटाचा, दीर्घ प्रयत्न करणारा, |
person= व्यक्ति, , |
persona= नाटक, , |
personable= देखाणा, , |
personage= महत्वाची, , |
personal= खाजगी, , |
personality= व्यक्तित्व, , |
personalize= मनुष्यत्वाचा आरोप करणे, , |
personally= खुद्द, व्यक्तिश:, |
personate= भूमिका करणे, , |
personification= मनुष्यत्वाचा आरोप करणे, , |
personify= मनुष्यत्वाचा आरोप करणे, , |
personnel= कार्यालय,कारखाना यामधील एकूण कर्मचारीवर्ग, , |
perspective= याथार्थदर्शन चित्र, , |
Perspex= काचेऐवजी वापरले जाणारे एक टिकाऊ प्लास्टिक, , |
perspicacious= तीक्ष्ण बुद्धीचा, कुशाग्र बुद्धीचा, |
perspicuous= सुबोध, , |
perspire= घाम येणे, , |
persuade= खात्री पटवणे, , |
persuasion= मानववळवणी, , |
persuasive= मन वळवू शकणारा, , |
pert= वागण्या बोलण्यात फाजील धीट , , |
pertain= च्याशी संबंध असलेला, , |
pertinacious= हेकट, , |
pertinent= समर्पकता, सुसंगत, |
peturb= क्षोभवणे, , |
peturbation= क्षोभ, , |
perusal= लक्षपूर्वक संपूर्ण वाचन, , |
peruse= लक्षपूर्वक वाचन, परिशीलन, |
pervade= व्यापणे, दरवळणे, |
pervasion= व्याप्ती, दरवळ, |
pervasive= व्यापणारा , , |
perverse= हेकट, , |
perversion= दुरुपयोग करणे, , |
perversity= हेकेखोरपणा, , |
pervert= दुरुपयोग करणे, , |
pervious= भेदय, , |
pesky= त्रासदायक, , |
pessary= संततिनियमनाचे एक साधन, , |
pessimism= निराशावाद, , |
pessimist= निराशावादी व्यक्ती, , |
pest= पीडादायक किवा नाश करणारा प्राणी किवा व्यक्ति, , |
pester= पुन:पुन्हा पिडणे, , |
pestiferous= रोग फैलावणारा, , |
pestilence= प्लेग इ फैलावणारा साथीचा रोग, , |
pestilent= आरोग्याला अपायकारक, , |
pestilential= सांसर्गिक, , |
pestle= मुसळ, , |
pet= लाडका पाळीव प्राणी, , |
pet= रंगाचा झटका, , |
petal= पाकळी, , |
petard= दारे भिंत तोडण्य साठी पूर्वी वापरात असलेला बॉम्ब, , |
peter= संपणे, हळूहळू संपूष्टात येणे, |
petite= लहान, , |
petition= अनेकांची सही, , |
petitioner= विशेषतः घटस्फोटाच्या दाव्यातील वादी, , |
petrify= दगडात रुपांतरीत करणे, , |
petrochemical= खनिज तेल रसायन, , |
petrol= शुद्ध खनिज तेल, , |
petroleum= खनिज तेल, , |
petrology= खडकांचे शास्त्र, , |
petticoat= स्त्रिया वापरतात टो परकर किवा घागरा, , |
pettifogger= उगाचच शुल्लक गोष्टींवरून कीस काढत बसणारी व्यक्ति, , |
pettish= चिडखोर, , |
petty= क्षुल्लक, क्षुद्र, |
petulant= तिरसट , , |
pew= पाठ असलेले बाक, , |
pewit= टिटवी, , |
pewter= शिसे व कथिल यांचा मिश्रधातू, , |
phaeton= चार चाकी लहान घोडागाडी, , |
phagocyte= शरीरात प्रवेश करणाऱ्या सुक्ष्मजंतूचा नाश करणारा रक्तातील एक प्रकारचा श्वेत गोलाक, , |
phalanx= सौन्याची तुकडी, , |
phappus= पुरुषाच्या लिंगाची प्रतिमा, , |
phantasm= स्वप्नात किवा जागेपणी भासमान होणारे दृश्य, , |
phantasmagoria= स्वप्नात किवा जागेपणी भासमान आकृती, , |
phantasmagory= स्वप्नात किवा जागेपणी भासमान आकृती, , |
phantom= भूत, , |
Pharaoh= प्राचीन इजिप्तच्या राजाची उपाधी, , |
Pharisee= पुरातन काळातील ज्यू लोकांच्या जातीला एक सदस्य, , |
pharmaceutical= औषधोत्पादन संबंधीचा, , |
pharmacist= औषधे तयार करणारी व विकणारी प्रशिक्षित व्यक्ती, , |
pharmacology= औषधे तयार करण्याचे शास्त्र, , |
pharmacopoeia= औषधिकोष, , |
pharmacy= औषधनिर्मिती शास्त्र, , |
pharynx= घशाची पोकळी , , |
phase= विकासाचा टप्पा, बाजू, |
pheasant= तितर पक्षी, , |
phenol= जंतुनाशक कार्बालिक अम्ला, , |
pheomenal= इंद्रियगोचर, , |
phenomenon= दृष घटना, , |
phew= चीड, आश्चर्य इ दर्शक उच्चार, |
phial= औषधं, , |
philander= बायकांना भूलवणे, , |
philanthropic(al)= परोपकारी , , |
philanthropist= लोकहितकर्ता, , |
philanthropy= भूतदया, , |
philatelist= टपाल तिकिटाचा संग्रह करणारा, , |
philately= पोस्टाच्या टपाल तिकिटाचा संग्रह व अभ्यास करण्याचा छंद, , |
philharmonic= सांगितला वाहून घेतलेला, , |
Philistine= प्राचीन ज्यू लोकांचे शत्रू, , |
philology= भाषारचनाशास्त्र, , |
philosopher= तत्वज्ञानी, , |
philosophy= तत्वज्ञान, , |
philtre= प्रेम किवा प्रेमवासना चेतवणारे पेय, , |
phlegm= कफ , , |
phlegmatic= अत्यंत सुस्त, शीत प्रकृतीचा, |
phlox= झुबकेदार शोभिवंत फुलांचे एक झाड, , |
phobe= भिणारा , , |
phobia= अकारण वाटणारी तीव्र भीती किवा तिरस्कार, भयगंड, |
phoenix= एक काल्पनिक पक्षी, , |
phone= दूरध्वनी, , |
phone= उच्चाराचा एक घटक, , |
phoneme= भाषेतील ध्वनीघटक, , |
phonetic= भाषेतील उच्चारांविषयी, , |
phonetics= ध्वनीशास्त्र, , |
phoney= खोटा , बनावट, |
phonograph= सुरुवातीच्या काळातील ग्रामोफोन, , |
phonology= उच्चारशास्त्र, , |
phooey= तिरस्कार,निराशा दर्शवणारा उद्गार , , |
phosgene= एक रंगहीन विषारी वायू, , |
phosphate= फॉस्फेट नावाचा क्षार, , |
phosphorescence= चकाकी, , |
phosphoric= फॉस्फरसचा, फॉस्फरस युक्त, |
phosphorus= फॉस्फरस, , |
photo= छायाचित्र, , |
photogrph= छायाचित्र, , |
photographer= छायाचित्रकार, , |
photographic= फोटोतल्या सारखा, , |
photography= छायाचित्र घेण्याची पद्धत व कला, , |
photogravure= फोटोच्या निगेटिव्ह वरून ब्लॉक करण्याची पद्धत, , |
photojournalism= छायाचित्रांद्वारा वृत्त देण्याचा वृत्तपत्रव्यवहार, , |
photolithography= शिलाप्रकाशलेखन, , |
photometer= प्रकाशमापक, , |
photometric= प्रकाशमापकासबंधी, , |
photometry= प्रकाशमापन, , |
photon= प्रकाशकन, , |
photostat= छायाचित्रांद्वारा कागदपत्राच्या प्रति काढण्याचे यंत्र, , |
phrase= अर्थपूर्ण शब्दसमूह, वाक्याश, |
phraseology= शब्दयोजना, , |
phrenic= मध्यापटलविषयक, , |
phrenology= डोक्याच्या कवटीच्या आकारावरून व्यक्तीचा स्वभाव, , |
pthisis= फुफ्फुसाचा क्षयरोग, , |
phut= फुगा फुटताना फट असा होणारा आवाज, , |
physical= शारीरिक, , |
physician= वैद्य, डॉक्टर, |
physicist= भौतिकविज्ञानाचा अभ्यासक, , |
pyhsics= भौतिकशास्त्र, , |
physiognomy= मुखसामुद्रिक, , |
physiology= शरीरविज्ञान, , |
physiotherapy= मर्दन,शेक प्रकाश इ च्या सहाय्याने शारीरिक दोष व्यंग बरे करण्याची पद्धत, , |
physique= शरीराची ठेवण, , |
pi= वर्तुळाच्या परिघाचे त्याच्या व्यासाशी गुणोत्तर , , |
pianism= पियानो वाजवण्याचे तंत्र किवा कौशल्य, , |
pianissimo= अत्यंत कोमल, , |
pianist= पियानोवादक, , |
piano= पियानो, , |
piano= मृदुपणे, , |
piazza= इटलीच्या शहरातील सार्वजनिक चौक, , |
pibroch= लष्करी संचालनाच्या वेळी किवा अंत्यायात्रासामयी बँगपाइप वद्यावार वाजले जाणारे संगीत, , |
pic= छायाचित्र, , |
pica= गर्भारपणी किंवा बालपणी माती,खडू इ अयोग्य पदार्थ खाण्याची होणारी तीव्र इच्छा, , |
picador= बैलाशी झुंज घेणारा भालाधारी घोडेस्वार, , |
picaresque= बदमाष माणसे व त्यांच्या साह्साविषयी, , |
piccalilli= कांदे टमटो, काकडी इ. भाज्यांचे मिश्रण असलेले मसालायुक्त लोणचे, , |
piccolo= एक छोटी बासरी, , |
pick= निवडणे, , |
pick= एखाद्या गोष्टीचा उत्कृष्ट भाग, , |
pick= कुदळ, , |
picker= उचलणारी , वेचणारी व्यक्ती, |
picket= संपाच्या वेळी इतरांनी कामावर जाऊ नये यासाठी केलेले निरोधन किंवा असे धरणे, , |
picking= उचलणे, , |
pickle= मासे मांस भाजीपाला इ. टिकवण्यासाठी वापरतात तो खार ,व्हिनेगर, आंब, इ, , |
picklock= कुलपे तोडणारा चोर, , |
pick-me-up= एक उत्तेजक किंवा स्वास्थ्यवर्धक पेय, , |
pick-up= वर उचलण्याची क्रिया, , |
Pickwickian= चार्ल्स डिकन्सच्या कादंबरीतील श्री. पिकविकसारखा , , |
picky= चोखंदळ, , |
picnic= वनभोजनाची सहल, , |
pictograph= चित्राक्षरलिपी , , |
pictorial= चित्रासंबंधीचा , , |
picture= आकृती, , |
picturesque= चित्रातल्यासारखा सुंदर , चित्ररमणीय, |
piddle= लघवी करणे, , |
piddling= किरकोळ , मामुली , |
pidgin= सुलभ भाषा, , |
pie= मांस किंवा फळे इ. वर पेस्ट्री घालून भाजून तयार केलेले पक्वान्न, , |
pie= सरमिसळ झालेला टाइप, , |
piebald= दुरंगी , , |
piece= तुकडा , , |
piece do resistance= कलात्मक वस्तुसंग्रहातील सर्वोत्क्रूष्ट , , |
piecemeal= खांडशः , , |
piecework= उक्ते काम, , |
pied= रंगीबेरंगी , , |
pie-eyed= दारू पिऊन तर्रर् झालेला, , |
pier= धक्का, , |
pierce= भोक पाडणे, , |
pier glass= ज्यात आपण संपूर्ण दिसतो असा उंच आरसा, , |
pierrot= फ्रेंच मूकनाट्यातील विदूषक, , |
piety= धर्मनिष्ठा, , |
piffle= अर्थशून्य, अर्थशून्य बडबड करणे, |
piffing= कवडीमोलाचा, कंटाळवाणा, |
pig= डुक्कर, , |
pigeon= कबुतर, , |
piegeon-breasted= चिंचोळी फुगीर छाती असलेली, , |
piegonhole= कागदपत्रे, इ.ठेवण्याचा टेबल, इ. मधील खण, , |
piggery= डुक्करखाना, , |
piggish= डुकरासारखा, , |
piggy= डुकरासारखा, , |
piggyback= एखाद्याच्या खांद्यावरून किंवा पाठुंगळीवरून केलेला प्रवास, , |
pig-headed= हेकट , , |
pig iron= कच्चे लोखंड, , |
piglet= डुकराचे पिल्लू, , |
pigment= रंग म्हणून वापरायचे द्रव्य, , |
pigmentation= वनस्पतीचा किंवा प्राण्यांचा नैसर्गिक रंग, , |
pigmy= मध्य आफ्रिकेतील खुजी व्यक्ती, , |
pigsty= डुक्करखाना, , |
pigswill= स्वयंपाकघरातील वाया जाणारे अन्न (जे डुकरांना खाण्यासाठी देतात ), , |
pike= भाला, , |
pike= गोड्या पाण्यातील मोठा मासा, , |
pike= जेथे रस्त्यावरची जकात स्वीकारतात ती जागा, , |
pike= डोंगराचा सुळका, , |
pike= ओणवी, , |
pilaster= भिंतीचा किंचित बाहेर दिसणारा आयताकृती खांब, , |
pile= ढीग, थप्पी, |
pileate= डोक्यावर तुरा असलेला , , |
piles= मुळव्याध, , |
pilfer= भुरट्या चोऱ्या करणे, , |
pilgrim= यात्रेकरू , , |
pilgrimage= यात्रा, , |
pill= औषधाची गोळी, सतत औषधी गोळ्या घेत राहणे, |
pillage= लुट, , |
pillar= आधार म्हणून असलेला गोल उंच स्तंभ , , |
pillbox= गोळ्याची डबी, , |
pillion= मोटारसायकल, इ. वरील दुसरी बैठक, , |
pillory= खोडा, , |
pillow= उशी, , |
pilot= वैमानिक, , |
pilule= लहान गोळी, , |
pimento= कंकोळ, , |
pimp= वेश्याव्यवसायातील दलाल, , |
pimpernel= फुलांचे झुडूप, , |
pimple= पुटकुळी, पुटकुळया असलेला, |
pin= टाचणी, , |
pinafore= अप्रन, , |
pince-nez= चिमट्यांच्या सहाय्याने नाकावर घट्ट बसणारा बिनकाड्याचा चष्मा, , |
pincers= गावी , खिळे उपसण्याचा चिमटा, |
pinch= चिमटीत धरणे, , |
pincushion= टाचण्या टोचून ठेवण्याची गादी , , |
pine= देवदार वृक्ष (पाइन), , |
pine= झुरणे, च्यासाठी अतिउत्सुक होणे, |
pineapple= अननस, , |
pinery= अननसाचे पीक जेथे  काढतात ती जागा , , |
pinfold= गुरांचा कोंडवाडा, , |
ping= बंदुकीच्या गोळीचा सू सू  असा आवाज, , |
ping-pong= कचकड्याच्या चेंडूने टेबलावर खेळायचा खेळ , , |
pinguid= तेलकट , , |
pinion= लहान दातेरी चाक, , |
pinion= पक्ष्याला उडताना उपयोगी पडणारे पीस, , |
pink= तलवारीने हलक्या हाताने भोसकणे, , |
pink= तीव्र आवाज करणे , , |
pink= गुलाबी, , |
pin money= स्त्रीला हातखर्चासाठी दिलेली लहान रक्कम, , |
pinnacle= सर्वोच्च शिखर, , |
pinnate= देठाच्या दोन्ही बाजूंना पाने असणारा, , |
pinny= मुलाचे मलवस्त्र , लाळेरे, |
pinpoint= एखादे ठिकाण इ. नेमके दाखवणे किंवा शोधून काढणे, , |
pinprick= टाचणीने पाडलेले भोक, , |
pint= पाइन्टचे माप, , |
pin-up= भिंतीवर टांगून ठेवण्याचे मोहक किंवा आवडत्या प्रसिद्ध व्यक्तीचे चित्र, , |
pioneer= आद्य  वासाहतकार, , |
pious= धार्मिक वृत्तीचा , , |
pip= सत्रे सफरचंद लिबू इ. बी, , |
pip= किती वाजले हे सुचवणारा खुणेचा आवाज, , |
pip= थोडक्या मताधिक्याने पराभूत करणे, , |
pip= चिवचिवने, , |
pipal= पिपळाचे झाड, , |
pipe= नळी, वाहिनी, |
pipeclay= सफेद चिकणमाती , , |
piper= पावा वाजवणारा , , |
pipette= शोषनळी, लघुनलिका, |
piping= पाणीपुरवठा सडपाणी वाहून नेणे इ. साठी वापरण्यात येणाऱ्या नळाची लांबी, , |
pipit= एक छोटा तपकिरी रंगाचा गाणारा पक्षी, , |
pipkin= एक छोटे मातीचे किंवा धातूचे भांडे, , |
pippin= एका जातीचे सफरचंद, , |
pipsqueak= क्षुल्लक किंवा तिरस्करणीय व्यक्ती/वस्तू, , |
piquancy= खमंगपणा, , |
piquant= झणझणीत , खमंग, |
pique= चा स्वाभिमान दुखावणे, , |
piquet= बत्तीस पत्ते देऊन दोघांनी खेळावयाचा एक खेळ, , |
piracy= चाचेगिरी, , |
pirate= समुद्रावरील लुटारू, , |
piratical= चाच्यासारखा , , |
pirouette= चवड्यावर उभे राहून घेतलेली गिरकी, , |
pis aller= निर्वाणीचा , , |
piscary= मच्छिमारी क्षेत्र, , |
piscatory= मासे, मासेमारी, मच्छीमार यांच्यासंबंधी, , |
Pisces= राशीचक्रातील बारावी रास, , |
pish= उताविळपणा दर्शक किंवा छी: शी: असा तिरस्कारदर्शक उद्गार, , |
piss= लघवी करणे, , |
pistachio= पिस्त्याचेझाड, , |
piste= स्कीइग खेळाकरता असलेला घट्ट बर्फाचा उतार किंवा असा मार्ग, , |
pistil= फुलातील स्त्रीकेसर , , |
pistillate= स्त्रीकेसर  असलेले परंतु परागकेसर नसलेले, , |
pistol= पिस्तुल, , |
piston= दट्ट्या, , |
pit= खड्डा, , |
pit-a-pat= धडधड, , |
pitch= ठोकणे, , |
pitch= डांबरपासून तयार केलेला कळा चिकट पदार्थ, , |
pitch= दोन विकेट दरम्यांनची खेळण्याची जागा , , |
pitchblende= एक काळा खनिज पदार्थ , , |
pitcher= मातीचे मोठे भांडे , , |
pitchfork= गवत इ. उचलण्याचे लांब दंडीचे साधन , , |
piteous= करुनाजनक, , |
pitfall= झाकलेला खड्डा, , |
pith= बोरू वेत इ.मधील गीर, , |
pithead= खाणीत उतरण्याचे प्रवेशद्वार व त्याभोवती असलेल्या इमारती यंत्रसामग्री इत्यादी, , |
pithy= थोडक्यात खूप मोठा अर्थ व्यक्त करणारा , , |
pitiable= करुणाजनक, ह्द्यद्रवक, |
pitiful= दयाशील, , |
pitiless= निर्दय, , |
piton= गिर्यारोहणात वापरतात तो भोक असलेला मोठा खिळा, , |
pitta= अरब राष्ट्रातील एक प्रकारची रोटी, , |
pittance= क्षुद्र वेतन, , |
pitter-patter= रिपरिप, , |
pituarary= पोष ग्रंथी, , |
pity= द्या, अनुकंपा, |
pitying= करुणापूर्ण , द्यादर्शक, |
pivot= टेकू, खीळ, |
pivotal= आसासंबंधीचा, , |
pixilated= अर्धवट वेडा, , |
pizza= एक इटालियन पदार्थ पिझा, , |
placable= चटकन शांत होणारा, , |
placard= प्रसिद्ध ठिकाणी लावलेली जाहिरात , अशी जाहिरात लावणे, |
placate= सांत्वन करणे, शांत करणे, |
place= स्थान, जागा, |
placebo= तोषक, , |
placenta= गर्भवेष्टण , , |
placid= शांत, अक्षुब्ध, |
plagiarism= वांडमयचौर्य, , |
plagiarize= दुसऱ्याचे विचार कल्पना चोरून स्वताचे म्हणून वापरणे, , |
plague= घातक साथीचा रोग, , |
plaid= स्कॉटीश लोकांचे खांद्यावर टाकायचे लांब लोकरी वस्त्र, , |
plain= साधा, , |
plaint= तक्रार, , |
plaintiff= फिर्यादी, , |
plantive= शोकपुर्ण, व्याकूळ, |
plait= वेणी दुहेरी घडी निरी, , |
plan= नकाशा, आराखडा, |
planchette= प्लचेट, , |
plane= पूर्ण सपाट प्रदेश, , |
plane= धारदार पात्याचे लाकडाचा पृष्ठभाग गुळगुळीत करण्याचे एक हत्यार  , , |
planet= आकाशातील ग्रह, , |
planetarium= कृत्रिम तारांगण, , |
planetary= ग्रहाचा, , |
plangent= खणखणीत व कारुण्यपूर्ण, , |
planimeter= वेड्यावाकड्या पृष्ठाचे क्षेत्रफळ मोजण्याचे साधन, , |
plank= लाकडाची फळी, , |
plankton= पाण्यात तरंगणारे व पाण्याच्या पृष्ठभागातील थरात राहणारे सूक्ष्म जीवाणू, , |
plano-concave= एक बाजू अंतर्गोल व दुसरी बाजू सपाट असलेला, , |
plano-convex= एक बाजू बहिर्गोल व दुसरी बाजू सपाट असलेला, , |
plant= वनस्पती, , |
plantian= केळे, , |
plantation= मळा किंवा अशा प्रकारची लागवड , , |
planter= लागवड करणारा, , |
plaque= शोभेसाठी किंवा स्मृतिचिन्ह म्हणून असलेली धातूची किंवा दगडाची पट्टी, , |
plasma= रक्तातील पिवळसर रंगाचा द्रव, प्लाविका, |
plaster= भिंतीचा गिलावा, , |
plastered= पिऊन झिंगलेला, , |
plastic= प्लास्टिक, , |
Plasticine= चिकणमातीसारखा लवचिक असणारा एक कृत्रिम पदार्थ, , |
plasticize= लवचिक बनवणे, , |
plate= पत्रा, , |
plateau= पठार, , |
plateful= थाळी भरून, , |
platelayer= रल्वेमार्ग घालणारा , , |
platen= मुद्रण यंत्रातील सपाट पत्रा ह्या पत्र्याच्या योगे कागद टाइपवर दाबला जातो, , |
platform= व्यासपीठ, , |
plating= मुलामा देण्याची कला , , |
platinum= प्याटीनम धातूफिकट रुपेरी रंगाचे , , |
platitude= अगदी निरस सामान्य, , |
Plato= एक ग्रीक तत्त्वेता, , |
Platonic= प्लेटोचे किंवा प्लेतोविषयक किंवा त्याच्या शिकवणीबाबत, , |
platoon= लेफ्टनंटच्या हाताखालील तीस ते पस्तीस सैनिकांची तुकडी , , |
platter= मोठी सापाट थाळी, , |
plaudit= टाळ्या, प्रशंसा, |
plausible= दिसायला वाजवी, पटण्यासारखे, |
play= क्रिडा करणे, , |
playable= खेळण्यास योग्य, , |
play-act= ढोंग करणे, , |
playbill= नाटकाची जाहिरात, , |
playboy= फक्त सुखाच्या माघे लागलेला श्रीमंत तरुण , , |
played-out= थकलेला , , |
player= खेळाडू, , |
playfellow= खेळातील सोबती, , |
playful= आनंदी खूप खेळणारा, , |
playgoer= नेहमी नाटकाला जाणारा, , |
playground= क्रीडांगण, , |
playgroup= ३ ते ५ वर्षे वयाच्या बालकांसाठी असलेली अनौपचारीक शाळा, , |
playhouse= नाटकगृह, , |
playing-card= खेळण्याच्या पत्त्यातील एक पत्ता, , |
playing field= खेळांचे मैदान, , |
playlet= लहान नाटक, , |
playmate= खेळातील सावंगडी, , |
play-off= सामना अनिर्णीत राहिल्याने निकाल लावण्यासाठी पुन्हा खेळला जाणारा सामना, , |
playpen= लहान मुलाला सुरक्षितपणे खेळता येईल असा कोठेही ने-आण करण्यासारखा बंदिस्त पाळणा, , |
plaything= खेळणे, , |
playtime= खेळाची वेळ, , |
playway= क्रीडाप्रकाराचा  शैक्षणिक वापर, , |
playwright= नाटककार , , |
plaza= शहरातील मोकळा चौक, , |
plea= विनवणी, याचना, |
plead= वादप्रतिवाद करणे, , |
pleasant= आनंददायक, , |
please= खूष किंवा संतुष्ट करणे, , |
pleasing= प्रसन्न, , |
pleasurable= सुखप्रद, आनंददायक, |
pleasure= आनंद, , |
pleat= चुणी, शिवनकामातील दुहेरी दुमडलेली घडी, |
pleb= समाजातील कनिष्ठ वर्गातील व्यक्ती, सर्वसामान्य लोक, |
plebeian= कनिष्ठ दर्जाची व्यक्ती, , |
plebiscite= सार्वमत, , |
plectrum= तंतुवाद्याच्या तारा छेडण्यासाठी वापरण्यात येणारी नखी, , |
pledge= वचन, , |
pledget= कापूस ,इ ची गादी किंवा पुष्टीपत्र , , |
pleiad= सात तेजस्वी व कुशाग्र बुद्धीच्या व्यक्तींचा गट, , |
plenary= पूर्ण , , |
plenipotentiary= परिपूर्ण किंवा अबाधित सत्ता असणारा , पूर्ण मोकळीक असणारा, |
plenitude= समृद्धी, , |
plenteous= विपुल, , |
plentiful= विपुल, , |
plenty= विपुलता, , |
plenum= सर्व सदस्य उपस्थित असलेली सभा , , |
pleonasm= निरर्थक पुनरुक्ती , , |
plethora= अत्याधिकता, , |
pleurisy= फुफ्फुसावरणदाह, , |
plexus= मज्जातंतू, रक्तवाहिन्याचे , जाळे, , |
pliable= लवचिक , नम्य, |
pliant= लवचिक , , |
pliers= पक्कड, , |
plight= स्थिती, दशा, |
plight= शपथपूर्वक देणे, , |
Pimsoll line= माल भरल्यावर कायद्यानुसार जहाज पाण्यात किती खोलपर्यंत बुडावे ते दाखवणारी रेषा, , |
plimsoll= रबरी तळवा असलेला कान्व्हासचा हलका बूट, , |
plinth= खांबाची चौकोनी बैठक, जोते, |
plod= मोठ्या कष्टाने , , |
plodding= धीमा व चिकाटीचा, , |
plonk= एखादी जड वस्तू कशावरतरी पडण्याचा किंवा आदळण्याचा आवाज, , |
plop= लहान वस्तू पाण्यात पडण्याचा आवाज, , |
plosive= ज्याचा उच्चार करतांना कोंडलेल्या हवेचा स्फोट  करावा लागतो ते, , |
plot= कट, , |
plough= नांगर, , |
plough-beam= नांगराची दांडी, , |
ploughboy= नागरण्याचा मदतनीस , , |
ploughman= नंगार्ऱ्या, , |
ploughshare= नांगराचा फाळ, , |
ploughstaff= नांगराची मणी, , |
ploy= स्वताच्या फायद्याकरीता केलेली चतुर योजना  , खेळी, |
pluck= तोडणे, उपटणे, |
pluck= धैर्य , धाडस, |
plug= भोक बुजवण्यासाठी केलेले बुच, , |
plughole= बेसिन मोरी इ. मधील सांडपाणी वाहून नेले जाते  असे जाळी बसवलेले भोक, , |
plum= आलुबुखार, , |
plumage= पक्ष्याची पिसे , , |
plumb= ओळंबा, , |
plumbago= ग्राफाईट, , |
plumber= नळकारागीर, , |
plumbing= नळ मोऱ्या दुरुस्त करणे बसवणे इ काम, , |
plumb line= पण्याची खोली मोजण्याचे साधन, , |
plume= मोठे पीस, , |
plummet= शिसेगोळा, , |
plummy= प्लम फळानी युक्त, , |
plump= लठ्ठ , , |
plump= धपकन कोसळणे किंवा टाकणे , , |
plumper= बसके गाल फुगीर दिसण्यासाठी नट लोक तोंडात धरतात तो पदार्थ, , |
plumy= पिसंसारखा , , |
plunder= लुटणे , नागवणे, |
plunge= जोराने घुसणे किंवा घुसवणे , , |
plunger= पंपाचा दट्ट्या, , |
plunk= जोराने धप्पदिशी  फेकणे, , |
pluperfect= पूर्णभूतकाळ, , |
plural= अनेकवचनी, , |
pluralism= एकच वेळी एकापेक्षा अधिक अधिकारपदावर ताबा असे पदग्रहण, , |
plurality= बाहुल्या, , |
pluralize= एकच वेळी एकापेक्षा अधिक अधिकारपदे ग्रहण करणे, , |
pluripresence= एकच वेळी अनेक ठिकाणी असणारे अस्तित्व, , |
plus= अधिक, , |
plus fours= पुरुषांची रुंद सैल चड्डी, , |
plush= मखमलासारखे विणलेले रेशमी किंवा सुती कापड, , |
Pluto= ग्रीक पुराणातील पातळदेव, , |
plutocracy= श्रीमंताच्या तंत्राने चालणारे सरकार , , |
plutocrat= श्रीमंताच्या तंत्राने चालणाऱ्या सरकारातील व्यक्ती, , |
plutonium= युरेनियमपासून मिळाणारे एक मौल, , |
pluvial= पावसाचा किंवा पावसामुळे निर्माण झालेला , , |
pluviometer= पर्जन्यमापक यंत्र, , |
pluvious= पावसाचा किंवा पावसासंबंधीचा, , |
ply= कापड,लाकूड इ. चा पदर, , |
ply= वापरणे, , |
pneumatic= हवेच्या दाबावर चालणारा , , |
pneumatics= यांत्रिक वायुविद्या, , |
pneumoconiosis= खाणीतील धूळ इ. श्वसानाद्वारे फुफ्फुसात गेल्यामुळे खाणकामगारांना होणारा एक प्रकारचा विकार, , |
pneumonia= फुफ्फुसाचा दाह, , |
po= मुत्रपात्र, , |
poach= दुसऱ्याच्या जागेत किंवा सार्वजनिक ठिकाणी बेकायदा शिरून शिकार करणे, , |
poacher= दुसऱ्याच्या हद्दीत बेकायदा शिरून शिकार करणारी व्यक्ती, , |
pock= देवीचा वण, , |
pocket= खिसा, , |
